time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-12 00:00:00+00:00,1,1,0,0
2025-02-14 00:00:00+00:00,0,0,2,1
2025-02-15 00:00:00+00:00,0,0,7,2
2025-02-16 00:00:00+00:00,1,1,2,2
2025-02-17 00:00:00+00:00,1,1,3,1
2025-02-18 00:00:00+00:00,0,0,3,1
2025-02-19 00:00:00+00:00,0,0,3,1
2025-02-20 00:00:00+00:00,0,0,10,3
2025-02-22 00:00:00+00:00,0,0,4,2
2025-02-23 00:00:00+00:00,1,1,3,2
2025-02-24 00:00:00+00:00,0,0,10,3
2025-02-25 00:00:00+00:00,0,0,2,1
2025-02-26 00:00:00+00:00,0,0,20,4
